Matrix_Index,Link_ID
0,1220343000
1,1220105900
2,1220033201
3,1220010107
4,1220086200
5,1220059002
6,1220078800
7,1220073600
8,1220030002
9,1220323700
10,1220026302
11,1220035903
12,1220013100
13,1220003501
14,1220340400
15,1220020503
16,1220035402
17,1220103300
18,1220341000
19,1220054800
20,1220008101
21,1220340100
22,1220059003
23,1220044801
24,1220346101
25,1220010202
26,1220336300
27,1220348001
28,1220050900
29,1220074600
30,1220075300
31,1220070000
32,1220008402
33,1220025902
34,1220100500
35,1220087001
36,1220044200
37,1220040500
38,1220005603
39,1220041900
40,1220089000
41,1220008300
42,1220109500
43,1220050101
44,1220012802
45,1220028002
46,1220056200
47,1220027404
48,1220111000
49,1220054700
50,1220099700
51,1220003202
52,1220050202
53,1220330000
54,1220333300
55,1220099600
56,1220091000
57,1220035404
58,1220343901
59,1220063700
60,1220331400
61,1220054200
62,1220096100
63,1220074800
64,1220051901
65,1220017500
66,1220041100
67,1220012801
68,1220331500
69,1220064400
70,1220080100
71,1220010903
72,1220073200
73,1220015501
74,1220074700
75,1210181301
76,1220064800
77,1220056600
78,1220057700
79,1220023002
80,1220023801
81,1220337600
82,1220068100
83,1220038504
84,1220064900
85,1220058901
86,1220052502
87,1220023201
88,1220003000
89,1220058200
90,1220058400
91,1220031803
92,1220038402
93,1220053200
94,1220015100
95,1220018507
96,1220017700
97,1220070800
98,1220023402
99,1220018602
100,1210027602
101,1220027203
102,1220012000
103,1220010105
104,1220103800
105,1220018200
106,1220030702
107,1220015000
108,1220027102
109,1220079402
110,1220345001
111,1220045400
112,1220011703
113,1220011200
114,1220062101
115,1220053100
116,1220348101
117,1220107100
118,1220044904
119,1220051700
120,1220102000
121,1220088900
122,1220098200
123,1220098300
124,1220324600
125,1220005300
126,1220019901
127,1220066600
128,1220034803
129,1220032002
130,1220024102
131,1220006803
132,1220057900
133,1220306411
134,1220344101
135,1220021101
136,1220106200
137,1220335300
138,1220063300
139,1220323100
140,1220074900
141,1220006624
142,1220341500
143,1220020600
144,1220320900
145,1220035204
146,1220320500
147,1220322800
148,1220033900
149,1220061400
150,1220104600
151,1220030103
152,1220001802
153,1220036801
154,1220083000
155,1220070600
156,1220346801
157,1220043500
158,1220057000
159,1220339700
160,1220069500
161,1220011402
162,1220337100
163,1220020901
164,1220028201
165,1220020802
166,1220021202
167,1220005200
168,1220055400
169,1220036304
170,1220086900
171,1220048400
172,1220068600
173,1210007803
174,1220034202
175,1220329700
176,1220004902
177,1220322600
178,1220342500
179,1220043000
180,1220001602
181,1220013302
182,1220026901
183,1220027303
184,1220022601
185,1220035303
186,1220059100
